txtAuthor,txtBody_Clean,gd_counts,gd_average,liwc_counts,liwc_averge
SergeantIncel,"Below is information on how unbans will work from now on. Not much has changed, mostly I've added clarification on timing and regarding the extraordinary unban, which I only explained vaguely in the ban megathread a while ago.   Refer to the sticky in the ban appeal section for more info on how to appeal. I'll add this info there as well.    All users have:    Two assured unbans per year for requested bans. They reset to two at the start of the year, regardless of whether you use them or not. They do not stack.  One unban chance for non-requested bans. The unban might or might not be accepted, depending on your appeal and the offense that permabanned you. If you use this chance and then get permabanned again, you might or might not be allowed to appeal again; ask a mod.  One extraordinary unban chance, to be used at least six months after an appeal of yours is denied. If your offense was severe (e.g., heavy trolling), you might not be given this chance. It never replenishes, you only get one.   Regarding how many unbans for requested bans you have left: Just imagine this system went into effect on 1st Jan 2019 and you were given two. If you've used any since, subtract them.","Counter({'planning': 4, 'soldier': 1, 'help': 1, 'loneliness': 1, 'surveillance': 1})",8,"Counter({'Function': 103, 'CogProc': 43, 'Verb': 34, 'Relativ': 29, 'Prep': 28, 'Pronoun': 20, 'FocusPresent': 19, 'Social': 19, 'Auxverb': 18, 'Tentat': 16, 'Conj': 14, 'Time': 14, 'FocusPast': 14, 'Ppron': 14, 'Space': 13, 'Adverb': 12, 'Cause': 12, 'You': 12, 'Drives': 10, 'Article': 10, 'Differ': 9, 'Insight': 8, 'Quant': 8, 'FocusFuture': 7, 'Ipron': 6, 'Affect': 6, 'Negate': 6, 'Interrog': 5, 'Adj': 5, 'Power': 5, 'Reward': 4, 'Compare': 4, 'Number': 4, 'Posemo': 3, 'Negemo': 3, 'Motion': 2, 'Certain': 2, 'They': 2, 'Anger': 2, 'Achieve': 1, 'Work': 1, 'Informal': 1, 'Nonflu': 1, 'Discrep': 1, 'Percept': 1, 'Feel': 1})",552
Total Imbecile,No permabans if you are a virgin too,Counter(),0,"Counter({'Function': 5, 'Conj': 1, 'CogProc': 1, 'Discrep': 1, 'Tentat': 1, 'Differ': 1, 'Pronoun': 1, 'Ppron': 1, 'You': 1, 'Social': 1, 'Auxverb': 1, 'Verb': 1, 'FocusPresent': 1, 'Article': 1, 'Bio': 1, 'Sexual': 1, 'Adverb': 1})",21
NeetSupremacist,@SergeantIncel when are you gonna reveal the survey results?,Counter({'surveillance': 1}),1,"Counter({'Function': 4, 'Relativ': 2, 'Verb': 2, 'CogProc': 2, 'Adverb': 1, 'Conj': 1, 'Interrog': 1, 'Time': 1, 'Auxverb': 1, 'FocusPresent': 1, 'Pronoun': 1, 'Ppron': 1, 'You': 1, 'Social': 1, 'FocusFuture': 1, 'Motion': 1, 'Informal': 1, 'Netspeak': 1, 'Insight': 1, 'Percept': 1, 'See': 1, 'Article': 1, 'Cause': 1})",29
SergeantIncel,"Total Imbecile said:                                    No permabans if you are a virgin too            Click to expand...      Stupidity is a liability, not a virtue.                                      NeetSupremacist said:                                    @SergeantIncel when are you gonna reveal the survey results?            Click to expand...      Haven't had time to work through the results, but should be soon.","Counter({'surveillance': 1, 'planning': 1, 'soldier': 1})",3,"Counter({'Function': 23, 'Verb': 9, 'CogProc': 8, 'Auxverb': 6, 'Relativ': 6, 'FocusPresent': 5, 'Article': 5, 'Social': 4, 'Prep': 4, 'Percept': 3, 'FocusPast': 3, 'Conj': 3, 'Discrep': 3, 'Differ': 3, 'Adverb': 3, 'Time': 3, 'Hear': 2, 'Pronoun': 2, 'Ppron': 2, 'You': 2, 'Space': 2, 'Affect': 2, 'Drives': 2, 'FocusFuture': 2, 'Cause': 2, 'Tentat': 1, 'Bio': 1, 'Sexual': 1, 'Negemo': 1, 'Risk': 1, 'Negate': 1, 'Posemo': 1, 'Interrog': 1, 'Motion': 1, 'Informal': 1, 'Netspeak': 1, 'Insight': 1, 'See': 1, 'Achieve': 1, 'Work': 1})",124
Insomniac,Total Imbecile said:                                    No permabans if you are a virgin too            Click to expand...      permabans for cucks and foids only tbh,Counter(),0,"Counter({'Function': 9, 'Verb': 2, 'Social': 2, 'Conj': 2, 'Adverb': 2, 'Prep': 2, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'CogProc': 1, 'Discrep': 1, 'Tentat': 1, 'Differ': 1, 'Pronoun': 1, 'Ppron': 1, 'You': 1, 'Auxverb': 1, 'FocusPresent': 1, 'Article': 1, 'Bio': 1, 'Sexual': 1, 'Relativ': 1, 'Space': 1, 'Informal': 1, 'Netspeak': 1})",38
ihaveno1,"SergeantIncel said:                                    One extraordinary unban chance, to be used at least six months after an appeal of yours is denied            Click to expand...      like the idea of this, some older users would probably like to know that this appeal option exists tbh","Counter({'relationship': 2, 'planning': 1, 'loneliness': 1})",4,"Counter({'Function': 19, 'Prep': 9, 'CogProc': 8, 'Verb': 7, 'Relativ': 5, 'Compare': 5, 'Tentat': 4, 'Pronoun': 4, 'FocusPast': 3, 'Auxverb': 3, 'FocusPresent': 3, 'Adj': 3, 'Time': 3, 'Ipron': 3, 'Social': 2, 'Space': 2, 'Quant': 2, 'Article': 2, 'Insight': 2, 'Percept': 1, 'Hear': 1, 'Cause': 1, 'Number': 1, 'Ppron': 1, 'You': 1, 'Drives': 1, 'Power': 1, 'Discrep': 1, 'Adverb': 1, 'Informal': 1, 'Netspeak': 1})",101
SoyUnPerdedor,Total Imbecile said:                                    No permabans if you are a virgin too            Click to expand...      good looking virgins are exempt from this,Counter({'honour': 1}),1,"Counter({'Function': 9, 'Verb': 4, 'Social': 2, 'Percept': 2, 'Pronoun': 2, 'Auxverb': 2, 'FocusPresent': 2, 'Bio': 2, 'Sexual': 2, 'Prep': 2, 'Hear': 1, 'FocusPast': 1, 'Conj': 1, 'CogProc': 1, 'Discrep': 1, 'Tentat': 1, 'Differ': 1, 'Ppron': 1, 'You': 1, 'Article': 1, 'Adverb': 1, 'Relativ': 1, 'Space': 1, 'Affect': 1, 'Posemo': 1, 'Drives': 1, 'Reward': 1, 'See': 1, 'Ipron': 1})",48
Mainländer,"Agecucking hard banned when.    But we barely have those types here anymore, thankfully.",Counter(),0,"Counter({'Function': 7, 'Adverb': 3, 'Pronoun': 3, 'Relativ': 2, 'Time': 2, 'Ipron': 2, 'Adj': 1, 'Percept': 1, 'Feel': 1, 'Conj': 1, 'Interrog': 1, 'Ppron': 1, 'We': 1, 'Social': 1, 'Drives': 1, 'Affiliation': 1, 'CogProc': 1, 'Tentat': 1, 'Auxverb': 1, 'Verb': 1, 'FocusPresent': 1, 'Affect': 1, 'Posemo': 1})",36
Total Imbecile,Insomniac said:                                    permabans for cucks and foids only tbh            Click to expand...                                      SoyUnPerdedor said:                                    good looking virgins are exempt from this            Click to expand...      Also exempt if you are white or black since you can just get laid anytime you want,"Counter({'honour': 1, 'planning': 1})",2,"Counter({'Function': 17, 'Verb': 8, 'Social': 5, 'Percept': 5, 'Prep': 5, 'FocusPresent': 5, 'CogProc': 5, 'Relativ': 4, 'Pronoun': 4, 'FocusPast': 3, 'Conj': 3, 'See': 3, 'Auxverb': 3, 'Tentat': 3, 'Ppron': 3, 'You': 3, 'Hear': 2, 'Adverb': 2, 'Space': 2, 'Drives': 2, 'Reward': 2, 'Discrep': 2, 'Differ': 2, 'Time': 2, 'Informal': 1, 'Netspeak': 1, 'Affect': 1, 'Posemo': 1, 'Bio': 1, 'Sexual': 1, 'Ipron': 1, 'Adj': 1, 'Cause': 1})",104
MarriedAndLookin4Fun,There is no gym for your ban appeals,Counter(),0,"Counter({'Function': 4, 'Auxverb': 1, 'Verb': 1, 'FocusPresent': 1, 'Negate': 1, 'Leisure': 1, 'Prep': 1, 'Pronoun': 1, 'Ppron': 1, 'You': 1, 'Social': 1})",14
