Feature,Weight
Score_MeanHackingGroup,0.03211505656767094
delta_meanURL,0.03164737388990645
Score_MeanAskAboutFindingVul,0.027485631152884507
Score_MeanRecruitment,0.026404974769091052
Score_MeanPraising,0.02534064347299339
CutoffAskAboutFindingVul,0.024213960095224654
Score_MaxHackingGroup,0.022480822551223044
CutoffSelling,0.022166806992682798
CutoffHackingGroup,0.021155871368314077
Score_MeanMalware,0.019712217474820697
Score_MaxSelling,0.019549162787774157
Score_MeanURL,0.0191443542634105
delta_meanAskAboutFindingVul,0.019089003447091777
Score_MeanSharingTutorials,0.01879031883489645
Score_SumURL,0.018488985402917997
Score_SumEMail,0.01823161200083862
CutoffURL,0.01791709604290997
Score_MeanSelling,0.01774227033575438
CutoffMalware,0.01729557461793603
delta_meanAttachment,0.016655479330416376
Score_MaxMalware,0.016086110367517035
Score_MeanEMail,0.015730715962194962
Score_SumMalware,0.015190228528354267
Score_SumHackingGroup,0.014937076948909165
CutoffPraising,0.01486655240700946
delta_meanEMail,0.014040152557094072
Score_MaxPraising,0.013942513748694653
Score_SumSelling,0.013791865658154233
delta_maxAskAboutFindingVul,0.013767839924617263
CutoffEMail,0.013746053584222696
Score_SumAskAboutFindingVul,0.013369252955408641
delta_maxURL,0.012491799908437084
Score_MeanAskForShareTutorial,0.012447312958408537
Score_SumPraising,0.01213542113016689
Score_MaxLoopsIfElse,0.011682947823622152
delta_maxHackingGroup,0.010639393103932355
Score_MaxAskAboutFindingVul,0.010408243172201776
Score_MaxEMail,0.010000951512617482
delta_maxEMail,0.009849398688432046
Score_MaxURL,0.009599701554121145
delta_meanMalware,0.009402636262272815
Score_CountIP,0.009202196488200212
delta_maxLoopsIfElse,0.009005690756424906
Score_SumLoopsIfElse,0.008923887172927912
Score_CountAskForShareTutorial,0.008911953391934903
delta_meanLoopsIfElse,0.008883362471053088
delta_maxAttachment,0.008517506995006542
CutoffLoopsIfElse,0.008499264841839806
Score_CountPraising,0.008286004119192109
delta_maxPraising,0.00803050216812876
Score_CountAskAboutFindingVul,0.007947123734077438
Score_SumAttachment,0.007938176019926036
delta_maxSelling,0.007873912279167344
delta_meanPraising,0.007861039202657877
Score_MeanLoopsIfElse,0.007713082894209191
delta_meanHackingGroup,0.007483077093736165
CutoffSharingTutorials,0.007468981558938741
Score_MaxRecruitment,0.0069831384181044545
delta_meanSharingTutorials,0.006968159904080357
delta_meanSelling,0.006861781654614437
CutoffRecruitment,0.006723153992067532
CutoffAttachment,0.006700228787087666
Score_MeanAttachment,0.006479119736914994
Score_MaxAskForShareTutorial,0.006383212857396827
Score_CountSelling,0.0063143592169720725
Score_SumRecruitment,0.005940120507909776
Score_CountSharingTutorials,0.0058384349820646666
Score_CountBragging,0.005691301041210442
delta_meanAskForShareTutorial,0.0054055812412725935
CutoffAskForShareTutorial,0.005238507285403144
Score_CountLoopsIfElse,0.005219707002941478
Score_CountMalware,0.0050677295545788065
Score_CountHackingTools,0.004488011534399356
Score_CountAttachment,0.004450913539091503
Score_MaxAttachment,0.0044413770888136585
Score_CountRecruitment,0.004292203014420708
delta_maxSharingTutorials,0.0038716251304712584
Score_MeanHackingTools,0.003659682853842672
delta_meanHackingTools,0.0035243013494285725
Score_CountCryptoCurrency,0.0033738943991777418
Score_CountHTML,0.003339707267927249
Score_CountURL,0.003294244032042308
delta_maxRecruitment,0.003100603822336959
Score_CountHackingGroup,0.002962945220572814
delta_maxAskForShareTutorial,0.0028052225386454113
Score_MaxSharingTutorials,0.002734864069697636
CutoffCryptoCurrency,0.002727480379882549
Score_CountEMail,0.002622393983859056
Score_MaxHackingTools,0.0024994246758266937
delta_maxMalware,0.0021476356267670403
delta_maxHackingTools,0.0018933781048500445
delta_meanRecruitment,0.0018325089742897169
delta_meanBragging,0.0017692766371234343
Score_MeanCryptoCurrency,0.0014880524271488349
Score_SumSharingTutorials,0.0011153223546457247
Score_SumHackingTools,0.0009658931693701931
Score_MaxBragging,0.0008102345020988534
Score_MaxCryptoCurrency,0.000504436381807483
Score_SumCryptoCurrency,0.0004005278880067784
CutoffHackingTools,0.0003435110100239884
Score_SumAskForShareTutorial,0.00028145205657845206
delta_maxBragging,0.00014519444166643408
CutoffIP,0.0
Score_MeanIP,0.0
Score_SumBragging,0.0
Score_SumHTML,0.0
delta_maxCryptoCurrency,0.0
delta_maxHTML,0.0
Score_MaxHTML,0.0
delta_meanCryptoCurrency,0.0
Score_SumIP,0.0
Score_MaxIP,0.0
